Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:58, 2.40, 1.38
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:58, 0.00, 1.38
2023-11-07 12:29:59, 0.00, 1.38
2023-11-07 12:29:59, 2.40, 1.38
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:29:59, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 2.50, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:00, 0.00, 1.50
2023-11-07 12:30:01, 0.00, 1.50
2023-11-07 12:30:01, 0.00, 1.50
2023-11-07 12:30:01, 0.00, 1.50
2023-11-07 12:30:01, 0.00, 1.50
2023-11-07 12:30:01, 0.00, 1.50
